Unnamed: 0,LICENSE NUMBER,PROVIDER NAME,PROVIDER SERVICE TYPE,STREET ADDRESS,CITY,STATE,ZIP,COUNTY,ECC,CCRR,SCHOOL DISTRICT OPERATED PROGRAM,SCHOOL DISTRICT,QUALITY RATING,QUALITY RATING EFFECTIVE DATE,QUALITY RATING EXPIRATION DATE,CCCAP FISCAL AGREEMENT STATUS,CCCAP AUTHORIZATION STATUS,TOTAL LICENSED CAPACITY,LICENSED HOME CAPACITY,LICENSED CENTER INFANT CAPACITY,LICENSED CENTER TODDLER CAPACITY,LICENSED CENTER PRESCHOOL CAPACITY,LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY,LICENSED SCHOOL AGE CAPACITY,LICENSED NYO CAPACITY,LICENSED RESIDENT CAMP CAPACITY,GOVERNING BODY
2539,1645910,Mom's House Academy,Child Care Center,2636 East 120th Ave,Thornton,CO,80233,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,,1.0,,,True,True,84.0,0.0,30.0,34.0,0.0,20.0,0.0,0.0,0.0,Mom's House Academy LLC
2540,55557,Marla Schoenberg,Experienced Family Child Care Home,,Sterling,CO,80751,Logan,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgewick",False,,2.0,2025-08-01,2028-08-01,True,True,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
2541,1630429,RESTORATION CHRISTIAN ACADEMY,Child Care Center,15400 E 5th PL,Aurora,CO,80011,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,Adams-Arapahoe School District 28J,4.0,2025-07-31,2028-07-31,True,True,81.0,0.0,10.0,24.0,20.0,0.0,27.0,0.0,0.0,
2542,1608574,STEPHANIE MIZER,Large Family Child Care Home,,Pueblo,CO,81005,Pueblo,Pueblo Early Childhood Council,Childrens First,False,Dist 60,2.0,2022-11-01,2025-11-01,True,True,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
2543,58540,DIANE SHELLEY,3 under 18 Months Family Child Care Home,,Lakewood,CO,80228,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2544,1513137,MIAMI - YODER PRESCHOOL,Child Care Center,420 S Rush RD,Rush,CO,80833,El Paso,Alliance for Kids,Alliance for Kids,False,,2.0,2024-02-15,2027-02-15,False,False,30.0,,,,0.0,30.0,,,,
2545,412,Kathleen Laatt,Large Family Child Care Home,,Longmont,CO,80503,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,St Vrain,1.0,,,False,False,12.0,,,,0.0,12.0,,,,
2546,1626965,Sarita Lewis,Large Family Child Care Home,,Colorado Springs,CO,80938,El Paso,Alliance for Kids,Alliance for Kids,False,FALCON 49,1.0,,,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
2547,1503784,Valerie Lovato,Family Child Care Home,,Denver,CO,80227,Denver,Denver's Early Childhood Council,Denver's ECC,False,Denver,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2548,115,EARLY CHILDHOOD EDUCATION HOWBERT,Preschool Program,1023 N 31st ST,Colorado Springs,CO,80904,El Paso,Alliance for Kids,Alliance for Kids,True,Colorado Springs School District 11,1.0,,,False,False,16.0,,,,16.0,0.0,,,,
